item_id,label,note
calibration-01-01,,
calibration-01-02,,
calibration-01-03,,
calibration-01-04,,
calibration-01-05,,
calibration-01-06,,
calibration-01-07,,
calibration-01-08,,
calibration-01-09,,
calibration-01-10,,
